name,surname,email,phone,house_number,street,city,state,zipcode
Herminia,Marshall,herminia.marshall@example.com,678-313-8625,4893,Hanifan Lane,Atlanta,GA,30303
Bernice,Richardson,bernice.richardson@example.com,406-640-0952,4508,Coolidge Street,Beach,MT,58621
Maeleachlainn,Albertson,maeleachlainn.albertson@example.com,936-514-5533,1345,Norma Avenue,Prairie View,TX,77445
Laloecen,Darwin,laloecen.darwin@example.com,772-216-4633,470,Travis Street,Fort Pierce,FL,34950
Shib,Payton,shib.payton@example.com,817-657-1845,3075,Southside Lane,Los Angeles,CA,90017
Marcos,Bertolini,marcos.bertolini@example.com,209-977-7112,4090,New York Avenue,Fort Worth,TX,76147
Daniël,Teague,daniël.teague@example.com,773-750-0852,1608,Center Avenue,Fresno,CA,93704
Ikaros,Garber,ikaros.garber@example.com,615-289-1387,788,Wilkinson Street,Nashville,TN,37211
Regulus,Cornell,regulus.cornell@example.com,832-572-5442,3050,Chapel Street,Baytown,TX,77520
Lars,Simen,lars.simen@example.com,843-441-7001,473,Jerry Dove Drive,Beaufort,SC,29902
